	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ATP8A1	264.0535523	-1.659011619	0.325922287	-5.09020611	3.58E-07	1.82E-05
CIITA	786.1425966	1.879037041	0.369187705	5.089652264	3.59E-07	1.82E-05
CSF1	259.4328361	2.569941537	0.505159892	5.087382391	3.63E-07	1.84E-05
DST	2691.611921	-1.393008637	0.273852412	-5.086713055	3.64E-07	1.84E-05
ZSWIM4	395.869945	1.480496496	0.291100201	5.085865588	3.66E-07	1.84E-05
USP30-AS1	112.8402322	2.977552058	0.585637948	5.084288114	3.69E-07	1.85E-05
CASP1	1204.93235	2.045947782	0.402639455	5.081339542	3.75E-07	1.88E-05
LILRA5	393.2548861	4.594079977	0.904362149	5.079911828	3.78E-07	1.88E-05
MUC1	4150.763909	1.227781403	0.241868682	5.07623141	3.85E-07	1.91E-05
CTXN1	742.8740327	1.459641093	0.287612615	5.075024591	3.87E-07	1.92E-05
1-Mar	447.6986747	2.640992421	0.520677017	5.072227765	3.93E-07	1.94E-05
LIMK1	469.5282526	1.024899351	0.202067589	5.07206205	3.94E-07	1.94E-05
FLI1	394.6721911	3.147944802	0.620728328	5.07137287	3.95E-07	1.94E-05
EYA1	1252.856411	-1.202526002	0.237264025	-5.068303139	4.01E-07	1.97E-05
SPTBN5	247.2992099	2.124291946	0.419946745	5.058479365	4.23E-07	2.06E-05
LPIN2	1376.459222	1.210678958	0.239328969	5.058639432	4.22E-07	2.06E-05
MNDA	2681.745121	3.775423279	0.746756214	5.055764129	4.29E-07	2.08E-05
IL32	292.6852322	2.9668887	0.587496889	5.05005006	4.42E-07	2.13E-05
FOXJ1	4367.26616	1.23206498	0.243947779	5.050527555	4.41E-07	2.13E-05
RHOG	832.4523718	2.319462653	0.459550249	5.047244907	4.48E-07	2.15E-05
ARHGAP45	533.7773152	2.881645817	0.571008756	5.046587794	4.50E-07	2.16E-05
MILR1	79.83538187	3.16160951	0.626946368	5.042870763	4.59E-07	2.19E-05
LCN2	6518.244084	1.73766326	0.344660126	5.041671868	4.61E-07	2.20E-05
OSBPL1A	400.5867481	-1.595264108	0.317371606	-5.026486544	5.00E-07	2.36E-05
TRIM5	649.9105902	1.660014758	0.330357986	5.024896709	5.04E-07	2.37E-05
MED16	558.4359553	1.00608356	0.200204348	5.025283258	5.03E-07	2.37E-05
CORO1A	1412.293199	2.936978815	0.5855872	5.015442305	5.29E-07	2.47E-05
GBP3	1755.126269	1.774809006	0.353919887	5.014719627	5.31E-07	2.47E-05
VSIR	1282.319225	1.809085117	0.36080712	5.013995062	5.33E-07	2.47E-05
SAA2	748.3218232	3.612655071	0.720745633	5.012385651	5.38E-07	2.48E-05
RPL3	8232.135256	-1.362233895	0.271958326	-5.008980298	5.47E-07	2.52E-05
HEXDC	312.3675603	1.154666114	0.230641823	5.006317159	5.55E-07	2.54E-05
DUOX2	7577.310361	2.322092115	0.464135111	5.003052047	5.64E-07	2.58E-05
FRAS1	662.5666788	-1.785476422	0.357164887	-4.999025623	5.76E-07	2.63E-05
FUT3	813.6029244	1.438209723	0.287802155	4.99721666	5.82E-07	2.65E-05
IL2RG	418.8384911	2.612508806	0.523286296	4.992503768	5.96E-07	2.71E-05
R3HDM4	851.6300617	1.261236636	0.252658701	4.991859097	5.98E-07	2.71E-05
DRAP1	849.3397441	1.59255652	0.319157252	4.989880414	6.04E-07	2.73E-05
GBP2	1550.021643	2.867756964	0.575134899	4.986233612	6.16E-07	2.77E-05
FTX	523.7303995	-1.076217767	0.216022926	-4.981960882	6.29E-07	2.82E-05
UNC93B1	1702.536896	1.282092494	0.257426092	4.980429472	6.34E-07	2.83E-05
PRKX	589.9065049	-1.078318003	0.216575657	-4.978943695	6.39E-07	2.85E-05
ALDH7A1	371.779003	-1.720475131	0.345841165	-4.974755187	6.53E-07	2.90E-05
LDLR	2165.636384	1.521407379	0.305968128	4.972437449	6.61E-07	2.93E-05
HLA-H	1307.168716	2.073509979	0.417052257	4.971822941	6.63E-07	2.93E-05
RBCK1	1254.588165	1.439222451	0.289574488	4.970128617	6.69E-07	2.95E-05
GDPD3	183.9679409	2.240360969	0.451635566	4.960550354	7.03E-07	3.09E-05
LGALS17A	175.9102794	8.545299039	1.723590204	4.957848461	7.13E-07	3.10E-05
U62317.1	34.7588745	5.479788029	1.105258258	4.957925436	7.12E-07	3.10E-05
RAB42	61.92171438	3.258356786	0.657144726	4.958354922	7.11E-07	3.10E-05
ATG2A	903.5335532	1.328977442	0.267992568	4.959008576	7.09E-07	3.10E-05
MAFB	1077.214535	2.087657292	0.421808001	4.949307003	7.45E-07	3.24E-05
CMTM3	248.8186488	2.186364744	0.441927198	4.947341451	7.52E-07	3.26E-05
FASN	2261.581603	1.147572739	0.232109052	4.944110223	7.65E-07	3.31E-05
EPS8L1	1664.54355	1.964172447	0.397736403	4.93837736	7.88E-07	3.40E-05
ABCC4	405.9068444	-1.899687701	0.385097651	-4.933002563	8.10E-07	3.49E-05
GMIP	674.557806	1.86798327	0.378858989	4.930550215	8.20E-07	3.52E-05
CCDC194	113.1870686	4.473561551	0.907632228	4.928826249	8.27E-07	3.54E-05
CACTIN	349.3432522	1.038848367	0.211048598	4.922318267	8.55E-07	3.64E-05
TTC3P1	109.138881	-1.422173645	0.289087724	-4.919522789	8.68E-07	3.67E-05
JPX	333.5502263	-1.004817468	0.204460622	-4.914479169	8.90E-07	3.73E-05
SMARCA1	197.4836422	-1.615075942	0.328628958	-4.914588023	8.90E-07	3.73E-05
AC139495.3	157.3742369	3.937212504	0.80129746	4.913546719	8.94E-07	3.74E-05
MUC21	772.9730876	1.943489287	0.395839167	4.909795312	9.12E-07	3.81E-05
MYD88	1602.286786	1.844794385	0.376043519	4.90580024	9.30E-07	3.87E-05
TTYH3	696.3719251	1.35886499	0.277162312	4.902776939	9.45E-07	3.92E-05
WDFY4	334.6438822	2.679908968	0.54666946	4.902247454	9.47E-07	3.92E-05
SDCBP2	606.5133304	1.772396215	0.361988351	4.896279704	9.77E-07	4.03E-05
SNX20	392.8560335	3.090453209	0.631464793	4.894102162	9.88E-07	4.07E-05
DOK3	510.474671	3.370436905	0.689650441	4.887167043	1.02E-06	4.20E-05
PRF1	216.7342469	4.19326359	0.858359763	4.885205215	1.03E-06	4.21E-05
SEMA7A	104.896547	3.086081581	0.631644134	4.885791561	1.03E-06	4.21E-05
RPL9	3485.685885	-1.35846945	0.278076003	-4.885245171	1.03E-06	4.21E-05
MIR3687-2	128.4988071	3.514091389	0.719660706	4.882983552	1.04E-06	4.25E-05
SLC7A5P2	65.50045125	2.841115244	0.582156023	4.880332988	1.06E-06	4.28E-05
TMUB1	204.9316489	1.143863606	0.234368101	4.880628384	1.06E-06	4.28E-05
CARD8-AS1	87.31722648	3.185138996	0.653037021	4.877424852	1.07E-06	4.34E-05
PWWP2B	501.5297863	1.20797524	0.247956953	4.871713524	1.11E-06	4.46E-05
SHKBP1	604.9023001	1.55195139	0.318656521	4.870295401	1.11E-06	4.48E-05
NRIR	69.4891921	3.840832611	0.788977744	4.868112748	1.13E-06	4.52E-05
FAM78A	152.5628531	2.422142356	0.497988195	4.863854971	1.15E-06	4.60E-05
TRIM38	2794.528392	1.340093593	0.275703723	4.860629297	1.17E-06	4.64E-05
CD68	975.6860352	2.385008254	0.49085212	4.858914035	1.18E-06	4.67E-05
PIM3	1347.666089	1.288865875	0.265443978	4.855509945	1.20E-06	4.74E-05
MOV10	1524.778683	1.12495524	0.231868228	4.851700682	1.22E-06	4.81E-05
FBXO46	208.9070842	1.007758911	0.207981914	4.845416081	1.26E-06	4.95E-05
DPYSL3	113.2085851	-2.989976528	0.617146054	-4.84484428	1.27E-06	4.95E-05
PLEK	3090.654061	3.386236111	0.69933564	4.842075701	1.28E-06	4.99E-05
SVOPL	353.5504848	-2.327949251	0.480750131	-4.842326818	1.28E-06	4.99E-05
BISPR	337.4171937	1.84985027	0.382172903	4.840349102	1.30E-06	5.02E-05
RASGRP3	237.9866957	2.207666944	0.456593946	4.835077123	1.33E-06	5.14E-05
APOL2	1723.227633	2.155398247	0.446111266	4.831526152	1.35E-06	5.23E-05
NOP10	562.7756129	1.227719485	0.254325321	4.827358431	1.38E-06	5.32E-05
CRB3	165.7199854	1.397745281	0.289684744	4.825056585	1.40E-06	5.37E-05
AP5B1	593.3003282	1.752893552	0.363334722	4.824459227	1.40E-06	5.38E-05
FBXO39	99.5201594	3.216214173	0.667306252	4.819697349	1.44E-06	5.47E-05
PPP1R12C	982.8916415	1.019021973	0.211621677	4.815300517	1.47E-06	5.59E-05
HIST1H2AL	87.16505517	2.352957209	0.488709207	4.81463655	1.47E-06	5.59E-05
TRIM66	310.6903108	-1.520014575	0.315726781	-4.814335269	1.48E-06	5.59E-05
TNFSF10	6546.845273	1.602992194	0.333110818	4.812188939	1.49E-06	5.63E-05
FCHO1	50.31321581	5.753282654	1.196169699	4.809754553	1.51E-06	5.68E-05
CXorf21	150.5462367	4.242572952	0.882667197	4.806537468	1.54E-06	5.73E-05
LIMD2	276.1353251	2.504418864	0.520917156	4.807710469	1.53E-06	5.73E-05
CITED4	237.2854939	1.415475549	0.294485348	4.80660773	1.54E-06	5.73E-05
MRPL53	142.9263342	1.024475349	0.213195182	4.805340066	1.54E-06	5.75E-05
FUT10	99.47573452	-1.013507746	0.211103702	-4.800994666	1.58E-06	5.85E-05
RPS18	5465.764306	-1.253565965	0.26174048	-4.789346938	1.67E-06	6.16E-05
SHISA5	2148.500154	1.470299776	0.30723093	4.78565025	1.70E-06	6.25E-05
CD300C	23.66875186	4.753212032	0.993904712	4.782361907	1.73E-06	6.33E-05
PDLIM2	247.2497104	1.794561112	0.375309715	4.781547184	1.74E-06	6.34E-05
RAC2	894.7739391	2.93110737	0.613098145	4.780812655	1.75E-06	6.36E-05
ST14	4128.026981	1.088862217	0.227778202	4.780361805	1.75E-06	6.36E-05
C19orf66	1343.715907	1.849135363	0.386979186	4.778384551	1.77E-06	6.41E-05
S1PR2	227.472529	1.628976052	0.340946682	4.777802919	1.77E-06	6.41E-05
FAM172A	397.0934946	-1.038624986	0.217646532	-4.772072287	1.82E-06	6.58E-05
FCGR1A	256.2667335	4.100675681	0.859995322	4.768253471	1.86E-06	6.67E-05
FYB1	2526.224723	2.76678311	0.580625721	4.765174895	1.89E-06	6.76E-05
RNU1-4	233.8366133	2.893322573	0.607463075	4.762960407	1.91E-06	6.82E-05
SH2D2A	102.9167506	4.118022065	0.865864812	4.755964218	1.98E-06	7.04E-05
BCL2L15	343.1760668	1.366522818	0.287341389	4.755746539	1.98E-06	7.04E-05
AL671883.3	44.8777956	2.979775431	0.626815612	4.753830913	2.00E-06	7.08E-05
DAPP1	1317.987552	1.308052419	0.275142758	4.754086308	1.99E-06	7.08E-05
C19orf24	193.5979199	1.226738669	0.258076216	4.753396846	2.00E-06	7.08E-05
PRKAB2	139.6289901	-1.115606655	0.23475905	-4.752134815	2.01E-06	7.11E-05
ZYX	1868.062538	2.013530105	0.423824427	4.750859029	2.03E-06	7.14E-05
CD209	94.39057591	2.942560688	0.619612008	4.749037544	2.04E-06	7.17E-05
PTGES3P1	39.76903367	2.814449521	0.592579843	4.749485749	2.04E-06	7.17E-05
BAK1	458.3727354	1.677567292	0.353230456	4.749214745	2.04E-06	7.17E-05
TET1	72.20380288	-1.975055955	0.416982454	-4.736544515	2.17E-06	7.61E-05
DEDD2	479.6024827	1.218789923	0.257379794	4.735375314	2.19E-06	7.64E-05
AMY2B	204.2743485	-1.578997139	0.33348822	-4.734791346	2.19E-06	7.64E-05
IRF8	272.1578915	2.485948063	0.525316065	4.732290198	2.22E-06	7.72E-05
RUFY4	262.1814339	2.728533081	0.576799341	4.730471908	2.24E-06	7.78E-05
TFEC	437.5589707	3.023947606	0.639434632	4.729095756	2.26E-06	7.82E-05
CEACAM1	995.3498617	1.890304692	0.400006512	4.725684795	2.29E-06	7.93E-05
KLF16	281.1953316	1.376988346	0.291510468	4.723632592	2.32E-06	7.97E-05
TIMP1	474.2109853	1.655329689	0.351469347	4.709741273	2.48E-06	8.52E-05
SIGLEC14	138.6719847	4.450914727	0.945548942	4.70722829	2.51E-06	8.59E-05
FAM107A	1300.143078	-2.193939747	0.466210101	-4.705903503	2.53E-06	8.63E-05
LRP10	3792.273098	1.058929313	0.225121796	4.703806262	2.55E-06	8.70E-05
HELB	390.6443557	1.901681573	0.404640527	4.69968144	2.61E-06	8.83E-05
SLC52A2	146.0885329	1.35287098	0.287962241	4.698084638	2.63E-06	8.88E-05
ZBTB7B	605.5303472	1.300622255	0.27689546	4.697159916	2.64E-06	8.91E-05
RPL4	4346.620166	-1.211948792	0.258235894	-4.693184882	2.69E-06	9.06E-05
PRRX2	65.82764815	3.546653989	0.756559165	4.687873937	2.76E-06	9.29E-05
ZNF598	371.7352077	1.066419837	0.227514535	4.687260264	2.77E-06	9.30E-05
AC011899.2	46.14100938	4.224331736	0.901621068	4.685262893	2.80E-06	9.34E-05
EPS8L2	1641.002834	1.080019246	0.230520065	4.685142024	2.80E-06	9.34E-05
SNX18	785.940684	1.097481435	0.234410594	4.681876434	2.84E-06	9.42E-05
APOBEC3G	787.6540805	1.820579691	0.388913394	4.68119566	2.85E-06	9.44E-05
AC084816.1	289.5943223	-1.443926071	0.308513772	-4.680264544	2.87E-06	9.46E-05
SLC43A2	1042.528967	1.058772588	0.226250692	4.679643538	2.87E-06	9.47E-05
GLRX	940.9222748	1.600807796	0.342384556	4.675467307	2.93E-06	9.62E-05
THEMIS2	617.6258808	2.671353743	0.571925356	4.670808375	3.00E-06	9.80E-05
TGFB1	617.0301219	1.826309756	0.391804649	4.661276381	3.14E-06	0.000102078
MCC	564.7244282	-1.333357338	0.28606808	-4.660979092	3.15E-06	0.000102078
FGFBP1	189.3219281	3.016544591	0.647281896	4.660325907	3.16E-06	0.00010222
PLAG1	96.75483175	-1.44857031	0.311036575	-4.657234636	3.20E-06	0.000103582
MS4A7	504.7598182	2.867511284	0.616197744	4.653556934	3.26E-06	0.00010526
CLDN3	565.69803	1.768222555	0.380229408	4.650409769	3.31E-06	0.00010669
CEP68	377.042102	-1.509971953	0.324755466	-4.649565945	3.33E-06	0.000106938
PLD1	786.8863217	-1.01198855	0.217956635	-4.643072913	3.43E-06	0.000109772
ZCCHC2	984.4850407	1.101250638	0.237284621	4.641053569	3.47E-06	0.000110656
SSX2IP	304.0637998	-1.240462913	0.267368778	-4.639520441	3.49E-06	0.000111284
IRF4	124.354808	3.094013404	0.667152537	4.63764017	3.52E-06	0.000112105
KRT23	1986.695094	1.559642546	0.336429439	4.635868217	3.55E-06	0.000112374
ZNF510	237.9790965	-1.27585068	0.275201217	-4.636064819	3.55E-06	0.000112374
ZNF467	170.499355	1.864233409	0.402370169	4.633130273	3.60E-06	0.000113581
EBI3	23.97453132	5.593351599	1.208326535	4.629006677	3.67E-06	0.000115665
C1QA	1117.071811	2.592873791	0.560788564	4.623621014	3.77E-06	0.000118097
C17orf67	64.13919313	2.27516655	0.492208111	4.622367037	3.79E-06	0.000118609
NUBPL	177.7351307	-1.027406097	0.222470923	-4.618159002	3.87E-06	0.000120831
ACTB	21745.41761	1.433745342	0.310656137	4.615216542	3.93E-06	0.000122345
ZC3HAV1	2498.873645	1.08538952	0.235297642	4.612836375	3.97E-06	0.000123122
RPL10A	2722.915526	-1.162645691	0.252175089	-4.610470041	4.02E-06	0.000123987
ITK	103.2920109	2.812193128	0.610043592	4.609823241	4.03E-06	0.000124073
STARD8	44.11952413	4.682088867	1.016119998	4.607810961	4.07E-06	0.000125067
SH2D1A	39.31124334	3.894535652	0.845428772	4.606580446	4.09E-06	0.000125385
RNF114	1380.337624	1.239287661	0.269174109	4.604037383	4.14E-06	0.0001265
POLA1	304.102568	-1.014425388	0.22046718	-4.60125351	4.20E-06	0.000127988
DNAH17	64.20662653	4.246042504	0.923748394	4.596535738	4.30E-06	0.0001307
SQSTM1	6706.649566	1.005606556	0.219034217	4.591093434	4.41E-06	0.000133931
FANCA	248.2981579	1.654374739	0.360582033	4.588067593	4.47E-06	0.000135208
BID	405.8928615	1.397073581	0.304484346	4.588326452	4.47E-06	0.000135208
GRIP2	63.17471563	4.902208129	1.068691215	4.587113713	4.49E-06	0.000135442
ADAM28	2644.709677	-1.402398079	0.305732332	-4.587012657	4.50E-06	0.000135442
ELF5	404.8153795	-1.865776908	0.406790726	-4.586576801	4.51E-06	0.0001355
RHOH	243.7045793	2.890248629	0.630490829	4.584124777	4.56E-06	0.000136422
TATDN1	121.5351547	-1.108776197	0.241858878	-4.584393206	4.55E-06	0.000136422
EHD1	1169.4367	2.440989238	0.533574159	4.574789085	4.77E-06	0.000141253
LST1	268.7691001	2.677855118	0.586042638	4.569386154	4.89E-06	0.000144707
LCP2	2168.910286	2.885442523	0.6316212	4.568311707	4.92E-06	0.000145214
ARPC1B	1124.266434	1.592224386	0.348868265	4.563970266	5.02E-06	0.000147771
EIF3E	1292.462701	-1.012127156	0.221815086	-4.562932017	5.04E-06	0.000148263
RPL21	3639.044927	-1.212724426	0.266038544	-4.558453861	5.15E-06	0.000150728
CCL20	85.70203217	3.433400002	0.753517987	4.556493754	5.20E-06	0.000151652
DUSP8	127.6796901	2.440250016	0.536293108	4.550217002	5.36E-06	0.000155747
HLX	177.9955708	4.204572347	0.924466768	4.548105454	5.41E-06	0.000156587
B2M	13457.28369	1.059633946	0.232956196	4.548640321	5.40E-06	0.000156587
PRKCB	457.482327	2.660846455	0.585216143	4.546775558	5.45E-06	0.000157308
SLAMF8	185.9557447	2.843113136	0.625387094	4.546165351	5.46E-06	0.000157514
GAL3ST4	88.73874384	2.464732237	0.542466178	4.543568493	5.53E-06	0.000159215
ZEB2	808.4830612	2.501845269	0.551509837	4.536356567	5.72E-06	0.000163934
MIR3648-2	3809.1692	2.456178402	0.542003058	4.531668902	5.85E-06	0.000166346
EPB41L4A-AS1	153.2585252	-1.326657499	0.292949154	-4.528627169	5.94E-06	0.000168231
TNIP3	115.7988652	6.180686911	1.365489056	4.526354045	6.00E-06	0.000169785
GRK2	1258.354601	1.013631721	0.224001227	4.525116822	6.04E-06	0.000170516
ADAP2	405.1015492	2.237143663	0.494558559	4.523516215	6.08E-06	0.000171544
SLA	928.24444	2.902869842	0.641903583	4.522283283	6.12E-06	0.00017228
EFHD2	2660.2335	1.276532497	0.282321691	4.521553022	6.14E-06	0.000172607
IKZF1	627.3527472	2.501579264	0.553656042	4.518291279	6.23E-06	0.000175016
PMAIP1	516.2968832	1.746167922	0.386497982	4.517922487	6.24E-06	0.000175051
CEP170B	2249.709329	1.039661016	0.230135968	4.517594638	6.25E-06	0.000175052
FABP5	891.1903936	1.240408144	0.27461697	4.516866327	6.28E-06	0.000175327
ITGAL	326.5109464	2.033294204	0.450720142	4.511212199	6.45E-06	0.000178845
ZFPM1	104.4473255	1.283803	0.284555034	4.511615853	6.43E-06	0.000178845
RILP	188.9296558	1.244062021	0.275777926	4.511100798	6.45E-06	0.000178845
RPL39	2464.868691	-1.1446759	0.25383284	-4.509565821	6.50E-06	0.000179869
HK3	163.723593	6.565097764	1.456373361	4.507839775	6.55E-06	0.000181062
NLRP3	160.6335257	3.139608564	0.69803363	4.497789831	6.87E-06	0.00018897
BTN3A2	503.8429933	1.298439701	0.288668679	4.498027658	6.86E-06	0.00018897
RAB39A	71.81951537	4.029720691	0.896337445	4.49576297	6.93E-06	0.000190491
MTURN	477.4838056	-2.263836544	0.503675083	-4.494636762	6.97E-06	0.000191064
WAS	461.6457861	2.939629444	0.654398046	4.492112194	7.05E-06	0.000192911
SERPINB8	355.3186444	1.146139176	0.255293605	4.48949426	7.14E-06	0.000195003
ENG	226.9614906	2.582164639	0.576396007	4.479844773	7.47E-06	0.000201518
PLEKHO2	1033.246111	2.188973237	0.488597509	4.480115423	7.46E-06	0.000201518
RAB3IL1	44.45054124	4.645622512	1.037439936	4.477967688	7.54E-06	0.000202483
CXCL6	679.6464097	2.61818053	0.585727027	4.469967087	7.82E-06	0.000209278
MSRB1	702.1997276	2.098070409	0.469873618	4.465180269	8.00E-06	0.000213384
CLEC7A	800.077508	1.931396036	0.432537433	4.465269101	8.00E-06	0.000213384
WFDC21P	889.2899229	1.793476974	0.401993332	4.461459511	8.14E-06	0.000216488
CNFN	181.9742099	3.157565784	0.707801446	4.46108976	8.15E-06	0.000216544
IKZF3	549.7248703	2.341909311	0.525471458	4.456777388	8.32E-06	0.000220622
FCER1G	874.8927488	2.782873955	0.625133645	4.45164642	8.52E-06	0.000225207
PLEKHN1	97.76872092	2.431422183	0.546211929	4.451426368	8.53E-06	0.000225207
RPL17	1827.192243	-1.310214744	0.294653852	-4.446623512	8.72E-06	0.000229964
IL10RA	270.8349478	2.596874758	0.584178112	4.445347586	8.77E-06	0.000230998
JAK3	496.4403325	2.8561724	0.643000872	4.441941722	8.92E-06	0.000234346
BIN2	536.6487716	2.694374956	0.606655947	4.44135588	8.94E-06	0.000234646
CD8A	175.0366227	2.894813586	0.652049165	4.439563362	9.01E-06	0.000235888
TNFRSF12A	211.2779651	2.170176215	0.488856684	4.439289235	9.03E-06	0.000235888
ARHGAP25	639.0702047	2.164382967	0.487539647	4.43939889	9.02E-06	0.000235888
MIR3648-1	443.337212	2.607955978	0.587544585	4.438737149	9.05E-06	0.000236154
SLC35D1	165.7036692	-1.138100142	0.256713135	-4.433353759	9.28E-06	0.000240747
LILRB2	432.6940417	3.567880386	0.805450682	4.429669582	9.44E-06	0.000244547
RAB43	321.0794647	2.471169089	0.55797054	4.428852262	9.47E-06	0.000244907
ZNF577	115.014448	-1.092361419	0.246653011	-4.42873742	9.48E-06	0.000244907
LENG9	108.6074504	1.995441655	0.450827919	4.426171431	9.59E-06	0.000246435
UBA7	1175.390133	1.018480132	0.230135163	4.425573724	9.62E-06	0.000246769
VASP	1279.944604	1.788772389	0.404380046	4.423493209	9.71E-06	0.000248808
IL7R	237.831994	2.611382157	0.59112286	4.417663966	9.98E-06	0.000254534
CHST2	145.3599866	2.10196942	0.475913722	4.416702699	1.00E-05	0.00025531
DOCK2	635.6889067	2.590838028	0.586709433	4.415879282	1.01E-05	0.000255567
NFKBIA	2714.833017	1.782340774	0.403608099	4.416018356	1.01E-05	0.000255567
NKG7	98.76705349	4.323541465	0.979229882	4.415246657	1.01E-05	0.0002556
ZC3H12D	64.49692419	2.54859036	0.57722332	4.415258832	1.01E-05	0.0002556
CD69	217.1585722	3.345193351	0.758248279	4.411738797	1.03E-05	0.000259055
LRWD1	648.9908943	1.020728375	0.231475872	4.409653444	1.04E-05	0.000261199
GADD45G	154.6636235	1.485154495	0.336973367	4.407334936	1.05E-05	0.000263643
ARHGAP9	406.8940086	3.008023457	0.683172179	4.403023938	1.07E-05	0.000267825
SAT1	22266.55806	1.244002936	0.282585181	4.402222834	1.07E-05	0.000268445
GIMAP5	356.1225093	2.82431772	0.64227777	4.397346213	1.10E-05	0.000274168
AL512306.2	152.9085147	3.570598716	0.812343611	4.395429063	1.11E-05	0.00027601
MAP1S	256.7892111	1.448978296	0.329688162	4.394996436	1.11E-05	0.00027601
TMEM18	134.7543652	-1.102736274	0.250904922	-4.395036443	1.11E-05	0.00027601
ARHGEF26	176.0416106	-1.569097575	0.357093897	-4.394075589	1.11E-05	0.000276802
GIMAP6	410.0175661	2.457819409	0.560025249	4.388765356	1.14E-05	0.000282486
CCRL2	139.9249124	3.04081898	0.693463886	4.384970929	1.16E-05	0.000286673
AC136475.7	47.84728455	7.545969892	1.721840874	4.382501313	1.17E-05	0.000289156
CACNA1A	34.36883524	3.153308642	0.720295151	4.377800735	1.20E-05	0.000294662
SLC23A2	866.5465116	-1.362717446	0.311381586	-4.376358479	1.21E-05	0.000295817
ALOX5	404.5313124	2.507965488	0.573421362	4.373686881	1.22E-05	0.000299059
MUC13	970.1977064	2.44352768	0.558974009	4.371451335	1.23E-05	0.000301326
TNFAIP2	1920.141675	1.926301055	0.440643456	4.371563968	1.23E-05	0.000301326
MSANTD4	350.3468089	-1.079187253	0.246899025	-4.37096604	1.24E-05	0.000301591
IL10	60.46571373	5.220284982	1.19481195	4.369126861	1.25E-05	0.000302647
GBP1P1	365.2449974	2.776746405	0.635935788	4.366394308	1.26E-05	0.000305917
CSF3	171.8267097	4.679156907	1.071879637	4.365375316	1.27E-05	0.000306937
DGAT1	230.6666296	1.008338616	0.231024418	4.36464086	1.27E-05	0.00030756
KRT6A	1996.543333	2.515690608	0.57693727	4.360423114	1.30E-05	0.000312303
PDZK1IP1	135.9439301	1.923895273	0.441269275	4.359912152	1.30E-05	0.000312619
GNLY	118.1116015	4.62822941	1.061686373	4.359318842	1.30E-05	0.000313054
APBB1IP	601.8950123	2.789032546	0.639906942	4.358497094	1.31E-05	0.000313817
RPS7	2657.894218	-1.139735121	0.261583957	-4.357052826	1.32E-05	0.000315478
ARID5A	389.7869681	1.930046932	0.443375312	4.353077134	1.34E-05	0.000320412
CYFIP2	853.0863412	-1.114527201	0.256135757	-4.351314369	1.35E-05	0.000322575
COL9A2	582.1021336	1.273624028	0.29272989	4.350850639	1.36E-05	0.000322835
SLA2	115.9601951	2.687241994	0.618086552	4.347679114	1.38E-05	0.000327108
KRT13	2391.67611	3.151095759	0.725195066	4.345169878	1.39E-05	0.000330437
MSRB3	50.21968896	-3.034277479	0.698689313	-4.342813642	1.41E-05	0.000333567
CNP	1682.760831	1.469052606	0.338459811	4.340404854	1.42E-05	0.000335929
AKR1C3	839.3750839	-1.182188975	0.272333605	-4.340958861	1.42E-05	0.000335929
ATP13A1	1012.549256	1.125946724	0.259693918	4.335668435	1.45E-05	0.000342355
PKN1	653.3320791	1.113020774	0.256779721	4.334535331	1.46E-05	0.000343677
FBXL19	419.8522426	1.230389717	0.283982434	4.332626147	1.47E-05	0.000346223
OR52K3P	48.14031691	5.335739256	1.232494817	4.329218414	1.50E-05	0.000349814
TNFSF14	139.399978	3.459725022	0.799107846	4.329484487	1.49E-05	0.000349814
RIN3	341.1784436	1.954450168	0.451917093	4.324798066	1.53E-05	0.000355986
NFKB2	929.9134532	1.810744391	0.418734088	4.324330029	1.53E-05	0.000356285
SAMD4A	275.544954	1.420671104	0.328851373	4.320100876	1.56E-05	0.000360869
APOBEC3B	69.22262071	2.898446862	0.671244275	4.318020982	1.57E-05	0.00036336
LINC01089	80.18005151	-1.442365597	0.334241035	-4.315345649	1.59E-05	0.000366856
RELB	340.6754282	2.262911396	0.524674509	4.312981394	1.61E-05	0.000370333
SH2D3C	105.1903424	2.980256847	0.691311609	4.311018085	1.63E-05	0.000373165
ARRDC2	433.155735	1.010519761	0.23450877	4.309091559	1.64E-05	0.000375481
ADGRL3	29.319353	-3.547502992	0.823995493	-4.305245625	1.67E-05	0.000380146
NOC4L	177.708388	1.799352759	0.418036018	4.304300785	1.68E-05	0.000381294
RASAL3	137.3651177	2.500813364	0.581230528	4.302618745	1.69E-05	0.00038324
PLA2R1	539.8910296	-1.616911583	0.376046834	-4.299761194	1.71E-05	0.000387247
MYADM	564.7263118	1.570756813	0.365690111	4.295322096	1.74E-05	0.000393606
KIF21B	370.8219357	2.027207368	0.472375125	4.291520155	1.77E-05	0.00039991
C15orf48	596.2528842	2.154076225	0.502933857	4.283020912	1.84E-05	0.000411419
LRRC25	170.5281826	3.355631627	0.783683333	4.281871882	1.85E-05	0.000413042
EEF1G	6800.939687	-1.098560821	0.256622923	-4.280836682	1.86E-05	0.00041446
ERMAP	204.6287197	-1.205508787	0.281674231	-4.27979791	1.87E-05	0.000415889
S100A10	1436.189813	1.023628854	0.239596301	4.272306577	1.93E-05	0.000429064
C4B	126.6225447	4.211566838	0.98609895	4.27093735	1.95E-05	0.00043118
PAG1	448.1699521	2.258019644	0.528923794	4.26908313	1.96E-05	0.00043425
